rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
Uber,University Heights/Morris Heights,Bedford Park,2.06,660,23.87,0,0.72,2.12,0,0,0,14.02,14.02,FALSE,Jan,1,1,23,Sun,night,Bronx,Bronx,FALSE
Uber,Bushwick South,Brooklyn Heights,4.38,1379,41.66,0,1.25,3.7,0,0,0,33.24,33.24,FALSE,Jan,1,1,58,Sun,night,Brooklyn,Brooklyn,FALSE
Uber,Two Bridges/Seward Park,Lower East Side,1.39,590,34.03,0,1.02,3.02,2.75,0,0,45.18,45.18,FALSE,Jan,1,1,59,Sun,night,Manhattan,Manhattan,FALSE
Uber,Williamsburg (North Side),Williamsburg (South Side),1.24,461,35.71,0,1.07,3.17,0,0,0,31.67,31.67,FALSE,Jan,1,2,14,Sun,night,Brooklyn,Brooklyn,FALSE
Uber,Steinway,Jackson Heights,2.76,1029,27.69,0,0.83,2.46,0,0,0,22.54,22.54,FALSE,Jan,1,2,16,Sun,night,Queens,Queens,FALSE
Uber,Clinton East,Outside of NYC,5.67,920,46.29,20,1.96,0,0,0,0,35.73,35.73,FALSE,Jan,1,2,47,Sun,night,Manhattan,Manhattan,FALSE
Uber,East Flatbush/Farragut,Kensington,3.32,1498,21.4,0,0.64,1.9,0,0,0,20.59,20.59,FALSE,Jan,1,3,12,Sun,night,Brooklyn,Brooklyn,FALSE
Uber,West Concourse,Bronxdale,4.6,744,18.11,0,0.54,1.61,0,0,0,17.67,17.67,FALSE,Jan,1,3,40,Sun,night,Bronx,Bronx,FALSE
Lyft,Bushwick South,Bushwick South,0.577,183,30.09,0,0.59,1.74,0,0,0,18.22,18.22,FALSE,Jan,1,4,6,Sun,night,Brooklyn,Brooklyn,FALSE
Uber,North Corona,Woodside,3.19,1010,19.17,0,0.58,1.7,0,0,0,13.11,13.11,FALSE,Jan,1,4,6,Sun,night,Queens,Queens,FALSE
Uber,Alphabet City,East Harlem North,7.14,1083,35.91,0,1.08,3.19,2.75,0,0,29.03,29.03,FALSE,Jan,1,4,24,Sun,night,Manhattan,Manhattan,FALSE
Lyft,Borough Park,Erasmus,3.381,1050,15.97,0,0.48,1.42,0,0,0,13.25,13.25,FALSE,Jan,1,5,12,Sun,night,Brooklyn,Brooklyn,FALSE
Uber,Midtown Center,LaGuardia Airport,8.61,1588,35.82,0,1.07,3.18,2.75,0,0,29.29,29.29,FALSE,Jan,1,5,14,Sun,night,Manhattan,Manhattan,FALSE
Lyft,Gramercy,Kips Bay,0.82,299,8.08,0,0.24,0.72,2.75,0,0,5.47,5.47,FALSE,Jan,1,5,49,Sun,night,Manhattan,Manhattan,FALSE
Uber,Canarsie,Lincoln Square East,14.45,2637,61.56,6.55,2.04,6.04,2.75,0,0,42.96,42.96,FALSE,Jan,1,7,24,Sun,morning,Brooklyn,Brooklyn,FALSE
Uber,Carroll Gardens,Upper East Side North,10.59,1460,37.7,0,1.13,3.35,2.75,0,0,25.17,25.17,FALSE,Jan,1,10,27,Sun,morning,Brooklyn,Brooklyn,FALSE
Uber,Parkchester,Soundview/Bruckner,1.31,424,8.26,0,0.25,0.73,0,0,0,6.06,6.06,FALSE,Jan,1,10,42,Sun,morning,Bronx,Bronx,FALSE
Uber,Oakland Gardens,Bellerose,1.35,323,7.12,0,0.21,0.63,0,0,0,5.4,5.4,FALSE,Jan,1,12,15,Sun,afternoon,Queens,Queens,FALSE
Uber,Washington Heights South,Washington Heights South,0.4,190,9.78,0,0.29,0.87,0,0,0,9.31,9.31,FALSE,Jan,1,12,16,Sun,afternoon,Manhattan,Manhattan,FALSE
